Bin,symbol,size,color,fillcol,position
SEQF6240.1,2,1,#000000,1,1
SEQF3607.1,2,1,#000000,1,1
SEQF1704.1,2,1,#000000,1,1
SEQF1998.1,2,1,#000000,1,1
SEQF6566.1,2,1,#000000,1,1
SEQF6446.1,2,1,#000000,1,1
SEQF3613.1,2,1,#000000,1,1
SEQF6470.1,2,1,#000000,1,1
SEQF6448.1,2,1,#000000,1,1
SEQF6488.1,2,1,#000000,1,1
SEQF6522.1,2,1,#000000,1,1
SEQF6433.1,2,1,#000000,1,1
SEQF2343.1,2,1,#000000,1,1
SEQF6445.1,2,1,#000000,1,1
SEQF6486.1,2,1,#000000,1,1
SEQF6491.1,2,1,#000000,1,1
SEQF6413.1,2,1,#000000,1,1
SEQF6415.1,2,1,#000000,1,1
SEQF6484.1,2,1,#000000,1,1
SEQF2767.2,2,1,#000000,1,1
SEQF6518.1,2,1,#000000,1,1
SEQF6511.1,2,1,#000000,1,1
SEQF1999.2,2,1,#000000,1,1
SEQF6544.1,2,1,#000000,1,1
SEQF6425.1,2,1,#000000,1,1
SEQF3623.1,2,1,#000000,1,1
SEQF6538.1,2,1,#000000,1,1
SEQF6509.1,2,1,#000000,1,1
SEQF6533.1,2,1,#000000,1,1
SEQF6504.1,2,1,#000000,1,1
SEQF6412.1,2,1,#000000,1,1
SEQF6418.1,2,1,#000000,1,1
SEQF6487.1,2,1,#000000,1,1
SEQF5738.1,2,1,#000000,1,1
SEQF5693.1,2,1,#000000,1,1
SEQF5712.1,2,1,#000000,1,1
SEQF5692.1,2,1,#000000,1,1
SEQF5686.1,2,1,#000000,1,1
SEQF5728.1,2,1,#000000,1,1
SEQF5684.1,2,1,#000000,1,1
SEQF9611.1,2,1,#000000,1,1
SEQF9587.1,2,1,#000000,1,1
SEQF2766.1,2,1,#000000,1,1
SEQF4402.1,2,1,#000000,1,1
SEQF4421.1,2,1,#000000,1,1
SEQF4411.1,2,1,#000000,1,1
SEQF4403.1,2,1,#000000,1,1
SEQF1924.1,2,1,#000000,1,1
SEQF6607.2,2,1,#000000,1,1
SEQF1846.1,2,1,#000000,1,1
SEQF3313.1,2,1,#000000,1,1
CMC005.B.bin.r.43,2,1,#000000,1,1
SEQF1596.2,2,1,#000000,1,1
SEQF1478.1,2,1,#000000,1,1
SEQF2761.1,2,1,#000000,1,1
