Sample	MAG_accession	site
RDPYD18079672	GWHAQCU00000000	tongue
RDPYD18079673	GWHAQCV00000000	tongue
RDPYD18079674	GWHAQCW00000000	tongue
RDPYD18079676	GWHAQCX00000000	tongue
RDPYD18079677	GWHAQCY00000000	tongue
RDPYD18079679	GWHAQCZ00000000	tongue
RDPYD18079682	GWHAQDA00000000	tongue
RDPYD18079684	GWHAQDB00000000	tongue
RDPYD18079686	GWHAQDC00000000	tongue
RDPYD18079687	GWHAQDD00000000	tongue
RDPYD18088777	GWHAQDE00000000	saliva
RDPYD18088777	GWHAQDF00000000	saliva
RDPYD18088777	GWHAQDG00000000	saliva
RDPYD18088779	GWHAQDH00000000	saliva
RDPYD18088781	GWHAQDI00000000	saliva
RDPYD18088781	GWHAQDJ00000000	saliva
RDPYD18088782	GWHAQDK00000000	saliva
RDPYD18088783	GWHAQDL00000000	saliva
RDPYD18088784	GWHAQDM00000000	saliva
RDPYD18088793	GWHAQDN00000000	saliva
RDPYD18088794	GWHAQDO00000000	saliva
RDPYD18088800	GWHAQDP00000000	saliva
RDPYD18088801	GWHAQDQ00000000	saliva
RDPYD18088804	GWHAQDR00000000	saliva
RDPYD18088805	GWHAQDS00000000	saliva
RDPYD18088807	GWHAQDT00000000	saliva
RDPYD18088810	GWHAQDU00000000	saliva
RDPYD18088811	GWHAQDV00000000	saliva
RDPYD18088813	GWHAQDW00000000	saliva
RDPYD18088813	GWHAQDX00000000	saliva
RDPYD18088819	GWHAQDY00000000	saliva
RDPYD18088820	GWHAQDZ00000000	saliva
RDPYD18088828	GWHAQEA00000000	saliva
RDPYD18088829	GWHAQEB00000000	saliva
RDPYD18088829	GWHAQEC00000000	saliva
RDPYD18088829	GWHAQED00000000	saliva
RDPYD18088835	GWHAQEE00000000	saliva
RDPYD18088838	GWHAQEF00000000	saliva
RDPYD18088839	GWHAQEG00000000	saliva
RDPYD18088839	GWHAQEH00000000	saliva
RDPYD18088841	GWHAQEI00000000	saliva
RDPYD18088842	GWHAQEJ00000000	saliva
RDPYD18088843	GWHAQEK00000000	saliva
RDPYD18088844	GWHAQEL00000000	saliva
RDPYD18088844	GWHAQEM00000000	saliva
RDPYD18088846	GWHAQEN00000000	saliva
RDPYD18088847	GWHAQEO00000000	saliva
RDPYD18088847	GWHAQEP00000000	saliva
RDPYD18088849	GWHAQEQ00000000	saliva
RDPYD18088850	GWHAQER00000000	saliva
RDPYD18088858	GWHAQES00000000	saliva
RDPYD18088866	GWHAQET00000000	saliva
RDPYD18088866	GWHAQEU00000000	saliva
RDPYD18088867	GWHAQEV00000000	saliva
RDPYD18088869	GWHAQEW00000000	saliva
RDPYD18088870	GWHAQEX00000000	saliva
RDPYD18088870	GWHAQEY00000000	saliva
RDPYD18088873	GWHAQEZ00000000	tongue
RDPYD18088877	GWHAQFA00000000	tongue
RDPYD18088880	GWHAQFB00000000	tongue
RDPYD18088882	GWHAQFC00000000	tongue
RDPYD18088882	GWHAQFD00000000	tongue
RDPYD18088883	GWHAQFE00000000	tongue
RDPYD18088884	GWHAQFF00000000	tongue
RDPYD18088884	GWHAQFG00000000	tongue
RDPYD18088885	GWHAQFH00000000	tongue
RDPYD18088891	GWHAQFI00000000	tongue
RDPYD18088892	GWHAQFJ00000000	tongue
RDPYD18088894	GWHAQFK00000000	tongue
RDPYD18088894	GWHAQFL00000000	tongue
RDPYD18088895	GWHAQFM00000000	tongue
RDPYD18088897	GWHAQFN00000000	tongue
RDPYD18088897	GWHAQFO00000000	tongue
RDPYD18088897	GWHAQFP00000000	tongue
RDPYD18088900	GWHAQFQ00000000	tongue
RDPYD18088901	GWHAQFR00000000	tongue
RDPYD18088902	GWHAQFS00000000	tongue
RDPYD18088906	GWHAQFT00000000	tongue
RDPYD18088906	GWHAQFU00000000	tongue
RDPYD18088908	GWHAQFV00000000	tongue
RDPYD18088910	GWHAQFW00000000	tongue
RDPYD18088912	GWHAQFX00000000	tongue
RDPYD18088915	GWHAQFY00000000	tongue
RDPYD18088919	GWHAQFZ00000000	tongue
RDPYD18088923	GWHAQGA00000000	tongue
RDPYD18088923	GWHAQGB00000000	tongue
RDPYD18088925	GWHAQGC00000000	tongue
RDPYD18088926	GWHAQGD00000000	tongue
RDPYD18088928	GWHAQGE00000000	tongue
