Bin,symbol,size,color,fillcol,position
ERS12516962.bin.r.65,2,1,#fea873,1,1
ERS12516974.bin.r.20,2,1,#fea873,1,1
GWHAQTS00000000,2,1,#fea873,1,1
GWHAQCV00000000,2,1,#fea873,1,1
GWHAQWG00000000,2,1,#fea873,1,1
ERS12516951.bin.r.14,2,1,#fea873,1,1
GWHARBS00000000,2,1,#fea873,1,1
ERS6636085.bin.r.8,2,1,#fea873,1,1
ERS3774422.bin.r.40,2,1,#fea873,1,1
ERS3774469.bin.r.18,2,1,#fea873,1,1
CMC023.A.bin.r.33,2,1,#fea873,1,1
ERS6256698.bin.r.23,2,1,#fea873,1,1
CMC018.B.bin.r.46,2,1,#fea873,1,1
ERS4545913.bin.r.9,2,1,#fea873,1,1
ERS3774438.bin.r.15,2,1,#fea873,1,1
CMC011.B.bin.r.102,2,1,#fea873,1,1
GWHAQCY00000000,2,1,#fea873,1,1
HMP_2012__SRS022149__bin.31,2,1,#fea873,1,1
ERS12516970.bin.r.85,2,1,#fea873,1,1
ERS6955144.bin.r.27,2,1,#fea873,1,1
HMP_2012__SRS024140__bin.6,2,1,#fea873,1,1
GWHAQCC00000000,2,1,#fea873,1,1
GWHAQBX00000000,2,1,#fea873,1,1
ERS3774424.bin.r.16,2,1,#fea873,1,1
ERSX0004014.bin.r.5,2,1,#fea873,1,1
ERS6955114.bin.r.1,2,1,#fea873,1,1
ERS6955114.bin.r.12,2,1,#fea873,1,1
GWHAROB00000000,2,1,#fea873,1,1
MGYG000298937,2,1,#fea873,1,1
ERS3774391.bin.r.5,2,1,#fea873,1,1
CMC028.B.bin.r.28,2,1,#fea873,1,1
ERS12516962.bin.r.29,2,1,#fea873,1,1
ERS12516970.bin.r.120,2,1,#fea873,1,1
CMC030.B.bin.r.74,2,1,#fea873,1,1
GWHAQXF00000000,2,1,#fea873,1,1
GWHAQQZ00000000,2,1,#fea873,1,1
GWHAQFQ00000000,2,1,#fea873,1,1
HMP_2012__SRS016541__bin.9,2,1,#fea873,1,1
ERS2985783.bin.r.8,2,1,#fea873,1,1
GWHAQKX00000000,2,1,#fea873,1,1
GWHAQLN00000000,2,1,#fea873,1,1
HMP_2012__SRS018300__bin.16,2,1,#fea873,1,1
GWHARJZ00000000,2,1,#fea873,1,1
GWHARCK00000000,2,1,#fea873,1,1
GWHARWE00000000,2,1,#fea873,1,1
GWHAPPE00000000,2,1,#fea873,1,1
GWHAQMU00000000,2,1,#fea873,1,1
GWHAQBI00000000,2,1,#fea873,1,1
GWHARUT00000000,2,1,#fea873,1,1
GWHAQFG00000000,2,1,#fea873,1,1
GWHAQLG00000000,2,1,#fea873,1,1
GWHAQFT00000000,2,1,#fea873,1,1
GWHAPZY00000000,2,1,#fea873,1,1
GWHAPQM00000000,2,1,#fea873,1,1
MGYG000298465,2,1,#fea873,1,1
GWHAPRA00000000,2,1,#fea873,1,1
GWHAQFO00000000,2,1,#fea873,1,1
HMP_2012__SRS018591__bin.25,2,1,#fea873,1,1
HMP_2012__SRS050669__bin.5,2,1,#fea873,1,1
GWHARST00000000,2,1,#fea873,1,1
GWHARLR00000000,2,1,#fea873,1,1
GWHAPYA00000000,2,1,#fea873,1,1
HMP_2012__SRS064423__bin.31,2,1,#fea873,1,1
GWHAPNS00000000,2,1,#fea873,1,1
HMP_2012__SRS019974__bin.21,2,1,#fea873,1,1
GWHAPYQ00000000,2,1,#fea873,1,1
CMC038.A.bin.r.92,2,1,#fea873,1,1
CMC011.B.bin.r.29,2,1,#fea873,1,1
GWHAQGK00000000,2,1,#fea873,1,1
CMC018.B.bin.r.102,2,1,#fea873,1,1
MGYG000298045,2,1,#fea873,1,1
MGYG000298045,2,1,#fea873,1,1
HMP_2012__SRS012285__bin.57,2,1,#fea873,1,1
HMP_2012__SRS063932__bin.82,2,1,#fea873,1,1
GWHAPPP00000000,2,1,#fea873,1,1
GWHARCY00000000,2,1,#fea873,1,1
GWHAQSB00000000,2,1,#fea873,1,1
ERS12516967.bin.r.31,2,1,#fea873,1,1
GWHARIJ00000000,2,1,#fea873,1,1
ERS3774422.bin.r.34,2,1,#fea873,1,1
GWHAQSP00000000,2,1,#fea873,1,1
GWHAROP00000000,2,1,#fea873,1,1
GWHARQO00000000,2,1,#fea873,1,1
MGYG000298685,2,1,#fea873,1,1
MGYG000298685,2,1,#fea873,1,1
GWHARMU00000000,2,1,#fea873,1,1
GWHARDT00000000,2,1,#fea873,1,1
GWHAQKR00000000,2,1,#fea873,1,1
ERS12516992.bin.r.31,2,1,#fea873,1,1
GWHAQXE00000000,2,1,#fea873,1,1
GWHAQNU00000000,2,1,#fea873,1,1
GWHAPOI00000000,2,1,#fea873,1,1
GWHARJM00000000,2,1,#fea873,1,1
GWHARSL00000000,2,1,#fea873,1,1
MGYG000298388,2,1,#fea873,1,1
ERS1202866.bin.r.10,2,1,#fea873,1,1
GWHARKA00000000,2,1,#fea873,1,1
GWHARTY00000000,2,1,#fea873,1,1
GWHAPPA00000000,2,1,#fea873,1,1
GWHAPQJ00000000,2,1,#fea873,1,1
GWHAPXY00000000,2,1,#fea873,1,1
ERS12516959.bin.r.5,2,1,#fea873,1,1
GWHAQUY00000000,2,1,#fea873,1,1
GWHAQFN00000000,2,1,#fea873,1,1
HMP_2012__SRS078182__bin.37,2,1,#fea873,1,1
GWHAQHV00000000,2,1,#fea873,1,1
ERS12516933.bin.r.1,2,1,#fea873,1,1
CMC033.B.bin.r.44,2,1,#fea873,1,1
GWHAPPW00000000,2,1,#fea873,1,1
ERS12516940.bin.r.28,2,1,#fea873,1,1
HMP_2012__SRS019219__bin.65,2,1,#fea873,1,1
GWHARIU00000000,2,1,#fea873,1,1
HMP_2012__SRS017209__bin.57,2,1,#fea873,1,1
FerrettiP_2018__CA_C10006MS2079SA_t0M15__bin.6,2,1,#fea873,1,1
GWHAQXQ00000000,2,1,#fea873,1,1
GWHAPOH00000000,2,1,#fea873,1,1
GWHAPSA00000000,2,1,#fea873,1,1
GWHARJY00000000,2,1,#fea873,1,1
GWHARBT00000000,2,1,#fea873,1,1
HMP_2012__SRS047824__bin.68,2,1,#fea873,1,1
GWHAQVH00000000,2,1,#fea873,1,1
ERS12516990.bin.r.20,2,1,#fea873,1,1
HMP_2012__SRS049147__bin.52,2,1,#fea873,1,1
GWHARMN00000000,2,1,#fea873,1,1
GWHAQCL00000000,2,1,#fea873,1,1
GWHAPZK00000000,2,1,#fea873,1,1
GWHAQSO00000000,2,1,#fea873,1,1
GWHAQHZ00000000,2,1,#fea873,1,1
GWHAQNL00000000,2,1,#fea873,1,1
GWHAPUG00000000,2,1,#fea873,1,1
GWHARUL00000000,2,1,#fea873,1,1
GWHARNV00000000,2,1,#fea873,1,1
GWHARTB00000000,2,1,#fea873,1,1
GWHARQR00000000,2,1,#fea873,1,1
GWHARHO00000000,2,1,#fea873,1,1
HMP_2012__SRS053603__bin.91,2,1,#fea873,1,1
HMP_2012__SRS042643__bin.16,2,1,#fea873,1,1
GWHAQDB00000000,2,1,#fea873,1,1
GWHAQVW00000000,2,1,#fea873,1,1
