pr_93	cluster_type	HOMD
1633	H	HOMD
1634	H	no
1635	P-G	no
1636	U	no
1637	H	HOMD
1638	H	no
1639	Env	no
1640	H	no
1641	H	no
1642	G-U-R	no
1643	H-G	no
1644	H	HOMD
1645	Env	no
1646	Env	no
1647	Env	no
1648	H	HOMD
1649	H	HOMD
1650	U	no
1651	U	no
1652	H	no
1653	H	no
1654	H	HOMD
1655	H	HOMD
1656	H	no
1657	H	HOMD
1658	H	HOMD
1659	H	HOMD
1660	H	HOMD
1661	H	HOMD
1662	H-N	no
1663	G	no
1664	H	HOMD
1665	G	no
1666	A	no
1667	H	HOMD
1668	A	no
1669	H	HOMD
1670	H	no
1671	H	no
1672	A	no
1673	H-N	no
1674	H-P-G	HOMD
1675	H	HOMD
1676	G	no
1677	U	no
1678	H	no
1679	R	no
1680	H-A	HOMD
1681	H	no
1682	H	HOMD
1683	G	no
1684	H	no
1685	H	HOMD
1686	H-N	HOMD
1687	N	no
1688	H	no
1689	G	no
1690	H	no
1691	H-N	no
1692	H-P-G	no
1693	H-N	no
1694	H	no
1695	H	no
1696	H	no
1697	Env	no
1698	U	no
1699	H	no
1700	A	no
1701	H	HOMD
1702	H	no
1703	H	no
1704	H	no
1705	H-N	no
1706	H	HOMD
1707	P	no
1708	H	no
1709	U	no
1710	H	no
1711	U	no
1712	U	no
1713	U	no
1714	Env	no
1715	H	HOMD
1716	H	no
1717	U	no
1718	U	no
1719	H	no
1720	H	HOMD
1721	P	no
1722	G	no
1723	H	no
1724	H	HOMD
1725	H	HOMD
1726	U	no
1727	Env	no
1728	H	no
1729	P	no
1730	H	no
1731	Env	no
1732	Env	no
1733	Env	no
1734	Env	no
1735	U	no
1736	H-N	no
1737	A	no
1738	H	HOMD
1739	U	no
1740	H	no
1741	H	no
1742	H	no
1743	Env	no
1744	Env	no
