Species	CMC001.B.deep.homd_mags	CMC002.B.deep.homd_mags	CMC003.B.deep.homd_mags	CMC004.B.deep.homd_mags	CMC005.B.deep.homd_mags	CMC006.B.deep.homd_mags	CMC007.B.deep.homd_mags	CMC008.B.deep.homd_mags	CMC009.A.deep.homd_mags	CMC009.B.deep.homd_mags	CMC010.B.deep.homd_mags	CMC011.B.deep.homd_mags	CMC012.B.deep.homd_mags	CMC013.B.deep.homd_mags	CMC015.B.deep.homd_mags	CMC016.B.deep.homd_mags	CMC017.B.deep.homd_mags	CMC018.B.deep.homd_mags	CMC020.B.deep.homd_mags	CMC021.B.deep.homd_mags	CMC022.B.deep.homd_mags	CMC023.A.deep.homd_mags	CMC023.B.deep.homd_mags	CMC024.B.deep.homd_mags	CMC025.B.deep.homd_mags	CMC026.B.deep.homd_mags	CMC027.B.deep.homd_mags	CMC028.B.deep.homd_mags	CMC029.B.deep.homd_mags	CMC030.B.deep.homd_mags	CMC031.B.deep.homd_mags	CMC032.B.deep.homd_mags	CMC033.B.deep.homd_mags	CMC034.B.deep.homd_mags	CMC035.B.deep.homd_mags	CMC036.B.deep.homd_mags	CMC037.B.deep.homd_mags	CMC038.A.deep.homd_mags	CMC038.B.deep.homd_mags	CMC039.B.deep.homd_mags	CMC040.B.deep.homd_mags	CMC042.B.deep.homd_mags	CMC043.B.deep.homd_mags	CMC045.B.deep.homd_mags	CMC046.B.deep.homd_mags
Fusobacterium pr_cl_1672	1	0	28	65	1	15	7	1	10	7	33	28	8	2	2	18	23	18	24	7	31	14	0	13	2	0	16	15	5	4	0	0	0	0	4	2	0	33	120	23	65	6	0	63	2
Fusobacterium pr_cl_1748	2	0	10	67	2	18	33	1	10	27	29	47	3	1	1	43	20	10	47	18	86	40	2	30	21	0	48	44	30	7	0	0	5	0	1	9	0	67	56	9	71	17	3	45	14
Fusobacterium pr_cl_1682	2	0	24	8	0	0	1	1	5	4	63	7	3	1	4	19	2	10	2	0	8	5	1	19	0	0	1	7	0	0	0	0	0	0	4	0	0	9	16	5	40	4	0	6	0
Fusobacterium pr_cl_1675	2	0	3	14	0	3	13	2	2	2	6	8	4	0	2	7	9	5	4	9	16	1	3	42	9	0	3	9	5	0	1	3	0	5	1	0	0	6	12	1	19	14	0	24	0
Fusobacterium pr_cl_1708	2	0	34	26	38	6	36	4	14	36	111	30	24	20	64	17	14	4	27	36	23	3	9	72	91	54	62	158	20	3	8	2	18	0	6	12	7	15	527	8	28	17	6	30	1
Fusobacterium pr_cl_1696	2	0	50	179	6	97	608	31	16	177	59	18	36	4	56	123	41	18	228	101	52	29	35	62	296	0	124	15	65	39	3	2	4	4	7	33	9	42	96	28	266	38	10	166	182
Fusobacterium pr_cl_1684	2	1	51	28	5	8	7	9	3	1	45	10	11	2	5	11	15	23	11	10	37	20	6	37	21	0	23	120	17	2	0	5	0	5	10	1	0	21	15	2	56	12	9	45	8
Fusobacterium pr_cl_1694	2	0	23	15	1	6	0	17	22	10	14	3	24	0	1	58	10	4	3	1	18	23	2	9	8	2	7	0	4	0	1	2	0	0	0	2	0	0	6	2	25	2	1	11	2
Fusobacterium pr_cl_1661	3	0	5	451	4	381	99	69	81	209	540	641	45	14	19	11	74	33	45	57	45	119	2	102	61	34	371	52	16	23	8	16	26	2	8	22	0	6	11	63	322	170	26	189	14
Fusobacterium pr_cl_1679	4	0	24	51	0	8	20	3	8	9	26	3	2	0	1	24	24	8	11	9	6	15	2	19	12	3	24	7	6	7	3	0	3	0	3	3	0	7	11	7	54	13	0	48	5
Fusobacterium pr_cl_1703	4	0	4	7	0	1	12	1	26	1	3	4	1	1	0	2	5	0	0	6	5	3	0	3	2	0	15	4	1	0	0	3	0	0	0	2	0	10	17	0	1	2	0	23	0
Fusobacterium pr_cl_1668	4	0	85	105	6	32	17	9	97	227	119	76	46	160	24	66	51	46	99	12	26	46	6	57	83	17	167	141	77	9	21	28	1	0	12	12	2	42	89	6	147	286	4	80	13
Fusobacterium pr_cl_1704	4	0	13	19	2	8	6	18	191	24	3	83	5	11	6	22	7	0	3	9	71	24	0	17	4	6	94	30	6	4	0	0	0	1	4	0	0	5	11	18	51	4	0	14	5
Fusobacterium pr_cl_1702	4	0	1	26	0	1	2	2	1	16	17	5	8	0	0	16	13	3	9	14	6	7	0	5	18	1	19	6	26	2	1	0	0	1	4	9	4	6	27	7	14	1	2	10	0
Fusobacterium pr_cl_1657	5	6	5	21	24	6	34	2	129	61	23	2	6	18	57	144	36	21	17	109	17	18	6	67	36	31	23	7	183	48	5	0	1	0	0	4	14	6	17	8	27	34	18	23	16
Fusobacterium pr_cl_1701	5	0	28	85	53	45	18	20	193	87	62	254	41	85	108	184	40	37	40	115	35	93	29	35	229	23	28	5	38	10	4	18	13	3	7	21	8	54	128	68	176	55	11	53	10
Fusobacterium pr_cl_1670	5	0	50	105	23	5	21	4	10	73	61	12	83	60	113	125	22	3	69	92	14	33	21	76	283	7	30	21	16	6	14	3	3	0	14	7	7	22	76	19	61	9	4	40	4
Fusobacterium pr_cl_1711	6	5	7	29	13	1	13	0	4	12	39	9	16	19	18	32	8	2	46	22	7	4	5	1	89	0	11	4	34	2	3	2	1	0	0	3	1	16	12	11	10	12	4	16	3
