Bin	Base	mean_damage	Study	primary_cluster	SampleID	library_treatment	library_polymerase
ERS3774468.bin.r.3	0	0.0950729537366548	FellowsYates2021	1187	ERS3774468	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774468.bin.r.3	0	0.0950729537366548	FellowsYates2021	1187	ERS3774468	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774468.bin.r.3	1	0.0614252669039146	FellowsYates2021	1187	ERS3774468	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774468.bin.r.3	1	0.0614252669039146	FellowsYates2021	1187	ERS3774468	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774468.bin.r.3	2	0.0379875444839858	FellowsYates2021	1187	ERS3774468	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774468.bin.r.3	2	0.0379875444839858	FellowsYates2021	1187	ERS3774468	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774468.bin.r.3	3	0.0315355871886121	FellowsYates2021	1187	ERS3774468	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774468.bin.r.3	3	0.0315355871886121	FellowsYates2021	1187	ERS3774468	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774468.bin.r.3	4	0.0247099644128114	FellowsYates2021	1187	ERS3774468	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774468.bin.r.3	4	0.0247099644128114	FellowsYates2021	1187	ERS3774468	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774468.bin.r.3	5	0.0272686832740214	FellowsYates2021	1187	ERS3774468	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774468.bin.r.3	5	0.0272686832740214	FellowsYates2021	1187	ERS3774468	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774469.bin.r.13	0	0.215022935779817	FellowsYates2021	1190	ERS3774469	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774469.bin.r.13	0	0.215022935779817	FellowsYates2021	1190	ERS3774469	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774469.bin.r.13	1	0.110866972477064	FellowsYates2021	1190	ERS3774469	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774469.bin.r.13	1	0.110866972477064	FellowsYates2021	1190	ERS3774469	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774469.bin.r.13	2	0.0664174311926606	FellowsYates2021	1190	ERS3774469	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774469.bin.r.13	2	0.0664174311926606	FellowsYates2021	1190	ERS3774469	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774469.bin.r.13	3	0.051	FellowsYates2021	1190	ERS3774469	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774469.bin.r.13	3	0.051	FellowsYates2021	1190	ERS3774469	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774469.bin.r.13	4	0.0418577981651376	FellowsYates2021	1190	ERS3774469	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774469.bin.r.13	4	0.0418577981651376	FellowsYates2021	1190	ERS3774469	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774469.bin.r.13	5	0.0359403669724771	FellowsYates2021	1190	ERS3774469	Mixed	PfuTurbo Cx Hotstart DNA
ERS3774469.bin.r.13	5	0.0359403669724771	FellowsYates2021	1190	ERS3774469	Mixed	PfuTurbo Cx Hotstart DNA
